Combination_ID,Combination_Name,Selection_Idx,Crossover_Idx,Mutation_Idx,LocalSearch_Idx,Instance,BKS_Fitness,BKS_Vehicles,BKS_Distance,Avg_Fitness,Std_Fitness,Avg_Vehicles,Std_Vehicles,Avg_Distance,Std_Distance,Feasibility_Rate,Avg_Total_Time,Std_Total_Time,Avg_Time_To_Best,Std_Time_To_Best,Avg_Num_Improvements,Std_Num_Improvements,Avg_Longest_Stagnation,Std_Longest_Stagnation
combo_2,No_LocalSearch,1,1,0,0,bar-n100-3,1009.2941176470589,6,746.0,11189.503921568627,281.29513716831354,14.333333333333334,1.247219128924647,1460.3333333333333,52.16214037871614,0.0,60.01062814394633,0.003084579158596369,38.92348790168762,10.063478755945946,9.0,3.7416573867739413,31.87976090113322,4.783543302926342
combo_2,No_LocalSearch,1,1,0,0,bar-n100-4,2070.0,12,1150.0,28117.199999999997,488.03367218377946,11.333333333333334,2.357022603955158,1569.6666666666667,73.71265532834613,0.0,60.01054994265238,0.0015607776912964103,50.4011435508728,5.694755439553261,8.0,1.632993161855452,30.122674385706585,5.052921519325269
combo_2,No_LocalSearch,1,1,0,0,bar-n100-5,1102.6315789473686,6,838.0,13028.063157894736,638.7874113920126,14.666666666666666,0.9428090415820634,1470.3333333333333,24.608038433722335,0.0,60.011325438817344,0.0006244489313827797,24.372823397318523,22.772146882158705,8.333333333333334,0.4714045207910317,48.97232476870219,6.052324497461591
combo_2,No_LocalSearch,1,1,0,0,bar-n100-6,935.75,3,788.0,13507.75,165.13681196712824,13.333333333333334,1.247219128924647,1451.6666666666667,35.23571420527127,0.0,60.01057497660319,0.0010613966410305891,37.89704513549805,10.591630870192603,10.0,2.160246899469287,29.870521942774456,5.090025501361143
combo_2,No_LocalSearch,1,1,0,0,ber-n100-1,3271.7647058823527,13,1854.0,49692.39215686275,1091.0396627871548,14.333333333333334,1.699673171197595,3013.6666666666665,164.09820907682757,0.0,60.01288636525472,0.0034671628991898218,11.881498336791992,10.748201421042923,5.0,1.632993161855452,48.130016009012856,10.750868600114067
combo_2,No_LocalSearch,1,1,0,0,ber-n100-2,2007.7647058823532,6,1484.0,43511.08235294118,1746.567899758261,15.0,0.816496580927726,2975.0,81.2773031048644,0.0,60.010636727015175,0.0003590268921551084,34.98781283696493,14.524971573248115,6.333333333333333,1.8856180831641267,33.315756718317665,4.293182351478145
combo_2,No_LocalSearch,1,1,0,0,ber-n100-3,814.8571428571428,3,713.0,22218.155555555557,275.0113782936629,14.0,0.816496580927726,1983.6666666666667,139.40428815339777,0.0,60.0098934173584,0.0010518654296174938,12.937756141026815,6.452671558887711,6.333333333333333,1.8856180831641267,47.07002830505371,6.452685713962507
combo_2,No_LocalSearch,1,1,0,0,ber-n100-4,572.0,3,494.0,24679.289473684214,62.18056110338594,15.0,0.816496580927726,1746.3333333333333,35.367907612536094,0.0,60.0121545791626,0.0007636201573603608,24.72851324081421,21.8760415171543,4.666666666666667,1.8856180831641267,49.32333040237427,4.08655577676062
combo_2,No_LocalSearch,1,1,0,0,ber-n100-5,1206.2222222222222,5,944.0,38379.9,266.11042000992245,15.0,0.816496580927726,2366.6666666666665,104.77383049003961,0.0,60.01093149185181,0.001461286331246334,34.91716853777567,17.172135143536117,5.0,0.816496580927726,39.480769554773964,9.023420772238389
combo_2,No_LocalSearch,1,1,0,0,ber-n100-6,4090.9333333333334,14,2116.0,37063.53777777778,803.7385243018471,11.333333333333334,0.4714045207910317,2896.0,96.78842906050289,0.0,60.01171596844991,0.0018326341950509585,14.026248772939047,7.16799400381405,8.0,1.632993161855452,45.983728647232056,7.168877856550329
combo_2,No_LocalSearch,1,1,0,0,ber-n100-7,2647.8947368421054,7,1935.0,36250.45263157895,237.19296444513768,13.333333333333334,1.247219128924647,3156.6666666666665,76.22044053635189,0.0,60.0110080242157,0.0024713859097302993,27.31528910001119,17.588667603128886,7.333333333333333,1.247219128924647,39.67853172620138,8.264216109051588
combo_2,No_LocalSearch,1,1,0,0,nyc-n100-1,979.8181818181818,6,634.0,12684.651515151518,190.73544445233844,8.666666666666666,1.8856180831641267,1030.0,25.39028685672272,0.0,60.01066533724467,0.001610310292383169,42.027600367863975,17.067629575316438,9.0,2.449489742783178,28.891729831695557,9.238673086924766
combo_2,No_LocalSearch,1,1,0,0,nyc-n100-2,767.7272727272727,4,563.0,11029.072727272729,225.73008528983988,10.0,0.0,1093.6666666666667,24.689178916188272,0.0,60.012300888697304,0.0010687523587403964,41.61153777440389,14.839829456275766,7.0,2.449489742783178,31.383444945017498,6.834931351342539
combo_2,No_LocalSearch,1,1,0,0,nyc-n100-3,637.0,3,490.0,14157.98666666667,834.908723367744,9.666666666666666,0.4714045207910317,986.6666666666666,8.993825042154695,0.0,60.01408465703329,0.000610953097073269,19.332499583562214,16.013328952684745,8.666666666666666,2.0548046676563256,42.69855817159017,13.424995457893294
combo_2,No_LocalSearch,1,1,0,0,nyc-n100-4,624.1666666666667,2,535.0,13987.75,362.68793978662666,11.0,0.816496580927726,1208.3333333333333,50.075498555237125,0.0,60.023381074269615,0.015227480781972098,40.0419921875,25.349569821784023,7.0,2.449489742783178,48.71175559361776,9.422236227567797
combo_2,No_LocalSearch,1,1,0,0,nyc-n100-5,790.6363636363636,2,669.0,22937.29696969697,283.8586356483444,9.333333333333334,0.9428090415820634,1307.3333333333333,26.386023236217735,0.0,60.01186569531759,0.0003867977474124154,30.763779878616333,16.367963788616674,7.666666666666667,2.0548046676563256,38.8487651348114,11.391110162844823
